"kb_type_name","kb_title","kb_content"
"图文知识","你有什么爱好","<p>我是个积极向上的好宝宝，爱好当然是不断学习，不断给自己充电啦~&nbsp;</p>"
"图文知识","你叫什么名字","<p>我叫Amis哦，昵称阿米~&nbsp;</p>"
"图文知识","请自我介绍一下吧","<p><br></p>
<figure><img src=""http://cdn.amisbook.com/ibar/image/2017110713/12cc2b3d0c1fb56233754ff54f944cf9.png"" height=""auto"" width=""auto""/></figure>
<p>我叫Amis，昵称阿米~虽然我还不到一岁，不过我已经学了很多知识了哦，不信你就考考我吧~</p>"
"图文知识","知识标题11","这个系列从第一部就有的问题在于，杰克船长是个亦正亦邪又太不正经的人，以至于人物的成长，情感线只能全盘交给配角，那么单靠重复的海上冒险就很容易令人厌倦。新故事新角色都在复刻第一部，找宝藏的线索也很弱，但还好不像4连动作场面的想象力都没了。总的来说适合无脑观众观看，比如我。"
"图文知识","知识标题12","“如果你要勾搭一个妹子，就别被她的姐妹吸引，如果已经被她的姐妹吸引了，就干掉她的兄弟”全片最佳的是杰克和他的断头台的圆周运动啊真是笑死。 还有还有“我是一个钟表学家” “做婊没什么不好意思的…” …… “我到底是你的什么？”巴伯撒的那句“Treasure”真是一个爆哭(；へ：)"
"图文知识","知识标题13","系列最差。本来以为第四部已经够差了，没想到这一部继续刷新下限，系列最短的两小时时长导致的结果就是除去各种卖情怀之外什么都没有，所有的戏都像是在赶进度。如果维宾斯基不回归，这个系列算是完蛋了"
"图文知识","知识标题14","没4那么尬，没2、3那么拖，娱乐性提升。子救父、父救女、Will&Elizabeth10年重逢挺感动，但彩蛋告诉你该系列套路就是把复活的弄死，死了的又弄活，狂打情怀难救缺新意强续集颓势。号称很强的反派废得跟MCU里出来似的。《速5》抢金库遛保险箱，《加5》抢银行直接遛银行，怎么看都像模仿，求别再强拍了！"
"图文知识","预约通关是什么事项类型","其他事项"
"图文知识","预约通关是什么事项类型","其他事项<br>其他事项"
"图文知识","预约通关是什么事项类型","其他事项"
"图文知识","预约通关的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","预约通关的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","预约通关的申请材料是什么","预约通关申请"
"图文知识","预约通关的办理形式是什么","窗口办理"
"图文知识","预约通关的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","预约通关的通办范围是什么","关区"
"图文知识","预约通关的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","预约通关的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","预约通关业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","预约通关业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","预约通关业务的收费标准是什么","该业务不需要收费"
"图文知识","ATA单证册等暂时进出境货物是什么事项类型","其他事项"
"图文知识","ATA单证册等暂时进出境货物的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","ATA单证册等暂时进出境货物的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","ATA单证册等暂时进出境货物的办理形式是什么","窗口办理"
"图文知识","ATA单证册等暂时进出境货物的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","ATA单证册等暂时进出境货物的通办范围是什么","关区"
"图文知识","ATA单证册等暂时进出境货物的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的收费标准是什么","该业务不需要收费"
"图文知识","区外未联网原产地证据文件预录入是什么事项类型","行政确认"
"图文知识","区外未联网原产地证据文件预录入的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》"
"图文知识","区外未联网原产地证据文件预录入的实施机构是什么","海关总署"
"图文知识","区外未联网原产地证据文件预录入的办理结果是什么","区外未联网原产地证据文件"
"图文知识","区外未联网原产地证据文件预录入的申请材料是什么","企业需要录入内容包括：
一、原产地证据文件电子数据
（一）原产地证据文件编号。填写原产地证书编号或原产地声明序列号。
（二）优惠贸易协定代码。从下拉菜单中选择优惠贸易协定代码。
（三）货物原产国（地区）。从下拉菜单中选择货物原产国（地区）。
（四）签证日期。按照原产地证书或原产地声明的签发日期填写（例如：2018年1月1日填写20180101）。
（五）HS编码。按照原产地证书或原产地声明所列商品HS编码填写。原产地证书或原产地声明未列明HS编码的，填写内容应与报关单对应商品HS编码一致。
（六）数量。按照原产地证书或原产地声明所列商品数量填写。
（七）计量单位。从下拉菜单中选择对应的计量单位（3位代码下拉菜单）。
（八）原产地标准。原产地证书或者原产地声明列明原产地标准的，根据所列原产地标准填写；未列明原产地标准的，填写“无”。
二、直接运输规则承诺事项
如实填写货物运输中转情况、单份全程运输单证持有情况和未再加工证明文件持有情况等直接运输承诺事项。其中单份全程运输单证是指符合海关总署公告2015年第57号和2016年第52号规定的单份全程运输单证。"
"图文知识","区外未联网原产地证据文件预录入的办理流程是什么"," 对尚未实现原产地电子信息交换的优惠贸易协定项下进口货物，进口人应当在申报进口前通过预录入端“优惠贸易协定原产地要素申报系统”填报原产地证据文件电子数据和直接运输规则承诺事项"
"图文知识","区外未联网原产地证据文件预录入的办理形式是什么","通过“优惠贸易协定原产地要素申报系统”填报"
"图文知识","区外未联网原产地证据文件预录入的审查标准是什么","填报的原产地证据文件电子数据和直接运输规则承诺事项应当与其持有的单证正本一致"
"图文知识","区外未联网原产地证据文件预录入的通办范围是什么","全国"
"图文知识","区外未联网原产地证据文件预录入的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的收费标准是什么","该业务不需要收费"
"图文知识","海关特殊监管区域原产地证据文件管理是什么事项类型","行政确认"
"图文知识","海关特殊监管区域原产地证据文件管理的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》
<br>海关总署2016年第53号公告"
"图文知识","海关特殊监管区域原产地证据文件管理的实施机构是什么","海关总署"
"图文知识","海关特殊监管区域原产地证据文件管理的办理结果是什么","海关特殊监管区域原产地证据文件"
"图文知识","海关特殊监管区域原产地证据文件管理的申请材料是什么","货物进入区域（场所）、进境内销或者出境时，进口人应当按照海关总署公告20 16年第51号的相关规定填制《中华人民共和国海关进（出）口货物报关单》和《中华人民共和国海关进（出）境货物备案清单》。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理流程是什么","对于尚未实现通过相关原产地电子信息交换系统传输原产地证据文件电子数据的优惠贸易安排，区域（场所）内销货物拟适用协定税率或者特惠税率的，货物在首次进入区域（场所）前，其收货人或者代理人（以下统称“进口人”）录入原产地证据文件的电子数据。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理形式是什么","通过“海关特殊监管区域原产地”系统填报"
"图文知识","海关特殊监管区域原产地证据文件管理的审查标准是什么","填报数据应当与其持有的单证正本一致。"
"图文知识","海关特殊监管区域原产地证据文件管理的通办范围是什么","全国"
"图文知识","海关特殊监管区域原产地证据文件管理的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的收费标准是什么","该业务不需要收费"
"图文知识","预约通关是什么事项类型","其他事项"
"图文知识","预约通关的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","预约通关的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","预约通关的申请材料是什么","预约通关申请"
"图文知识","预约通关的办理形式是什么","窗口办理"
"图文知识","预约通关的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","预约通关的通办范围是什么","关区"
"图文知识","预约通关的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","预约通关的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","预约通关业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","预约通关业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","预约通关业务的收费标准是什么","该业务不需要收费"
"图文知识","ATA单证册等暂时进出境货物是什么事项类型","其他事项"
"图文知识","ATA单证册等暂时进出境货物的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","ATA单证册等暂时进出境货物的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","ATA单证册等暂时进出境货物的办理形式是什么","窗口办理"
"图文知识","ATA单证册等暂时进出境货物的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","ATA单证册等暂时进出境货物的通办范围是什么","关区"
"图文知识","ATA单证册等暂时进出境货物的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的收费标准是什么","该业务不需要收费"
"图文知识","区外未联网原产地证据文件预录入是什么事项类型","行政确认"
"图文知识","区外未联网原产地证据文件预录入的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》"
"图文知识","区外未联网原产地证据文件预录入的实施机构是什么","海关总署"
"图文知识","区外未联网原产地证据文件预录入的办理结果是什么","区外未联网原产地证据文件"
"图文知识","区外未联网原产地证据文件预录入的申请材料是什么","企业需要录入内容包括：
一、原产地证据文件电子数据
（一）原产地证据文件编号。填写原产地证书编号或原产地声明序列号。
（二）优惠贸易协定代码。从下拉菜单中选择优惠贸易协定代码。
（三）货物原产国（地区）。从下拉菜单中选择货物原产国（地区）。
（四）签证日期。按照原产地证书或原产地声明的签发日期填写（例如：2018年1月1日填写20180101）。
（五）HS编码。按照原产地证书或原产地声明所列商品HS编码填写。原产地证书或原产地声明未列明HS编码的，填写内容应与报关单对应商品HS编码一致。
（六）数量。按照原产地证书或原产地声明所列商品数量填写。
（七）计量单位。从下拉菜单中选择对应的计量单位（3位代码下拉菜单）。
（八）原产地标准。原产地证书或者原产地声明列明原产地标准的，根据所列原产地标准填写；未列明原产地标准的，填写“无”。
二、直接运输规则承诺事项
如实填写货物运输中转情况、单份全程运输单证持有情况和未再加工证明文件持有情况等直接运输承诺事项。其中单份全程运输单证是指符合海关总署公告2015年第57号和2016年第52号规定的单份全程运输单证。"
"图文知识","区外未联网原产地证据文件预录入的办理流程是什么"," 对尚未实现原产地电子信息交换的优惠贸易协定项下进口货物，进口人应当在申报进口前通过预录入端“优惠贸易协定原产地要素申报系统”填报原产地证据文件电子数据和直接运输规则承诺事项"
"图文知识","区外未联网原产地证据文件预录入的办理形式是什么","通过“优惠贸易协定原产地要素申报系统”填报"
"图文知识","区外未联网原产地证据文件预录入的审查标准是什么","填报的原产地证据文件电子数据和直接运输规则承诺事项应当与其持有的单证正本一致"
"图文知识","区外未联网原产地证据文件预录入的通办范围是什么","全国"
"图文知识","区外未联网原产地证据文件预录入的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的收费标准是什么","该业务不需要收费"
"图文知识","海关特殊监管区域原产地证据文件管理是什么事项类型","行政确认"
"图文知识","海关特殊监管区域原产地证据文件管理的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》
<br>海关总署2016年第53号公告"
"图文知识","海关特殊监管区域原产地证据文件管理的实施机构是什么","海关总署"
"图文知识","海关特殊监管区域原产地证据文件管理的办理结果是什么","海关特殊监管区域原产地证据文件"
"图文知识","海关特殊监管区域原产地证据文件管理的申请材料是什么","货物进入区域（场所）、进境内销或者出境时，进口人应当按照海关总署公告20 16年第51号的相关规定填制《中华人民共和国海关进（出）口货物报关单》和《中华人民共和国海关进（出）境货物备案清单》。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理流程是什么","对于尚未实现通过相关原产地电子信息交换系统传输原产地证据文件电子数据的优惠贸易安排，区域（场所）内销货物拟适用协定税率或者特惠税率的，货物在首次进入区域（场所）前，其收货人或者代理人（以下统称“进口人”）录入原产地证据文件的电子数据。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理形式是什么","通过“海关特殊监管区域原产地”系统填报"
"图文知识","海关特殊监管区域原产地证据文件管理的审查标准是什么","填报数据应当与其持有的单证正本一致。"
"图文知识","海关特殊监管区域原产地证据文件管理的通办范围是什么","全国"
"图文知识","海关特殊监管区域原产地证据文件管理的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的收费标准是什么","该业务不需要收费"
"图文知识","预约通关是什么事项类型","其他事项"
"图文知识","预约通关的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","预约通关的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","预约通关的申请材料是什么","预约通关申请"
"图文知识","预约通关的办理形式是什么","窗口办理"
"图文知识","预约通关的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","预约通关的通办范围是什么","关区"
"图文知识","预约通关的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","预约通关的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","预约通关业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","预约通关业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","预约通关业务的收费标准是什么","该业务不需要收费"
"图文知识","ATA单证册等暂时进出境货物是什么事项类型","其他事项"
"图文知识","ATA单证册等暂时进出境货物的设定依据是什么","《海关总署关于印发〈海关总署青海省人民政府合作备忘录〉的通知》（署厅函〔2014〕101号）等"
"图文知识","ATA单证册等暂时进出境货物的实施机构是什么","有关直属海关、隶属海关负责预约通关的部门"
"图文知识","ATA单证册等暂时进出境货物的办理形式是什么","窗口办理"
"图文知识","ATA单证册等暂时进出境货物的审查标准是什么","是否符合海关规定的适用预约通关的企业信用状况、支持产业发展等条件"
"图文知识","ATA单证册等暂时进出境货物的通办范围是什么","关区"
"图文知识","ATA单证册等暂时进出境货物的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","ATA单证册等暂时进出境货物业务的收费标准是什么","该业务不需要收费"
"图文知识","区外未联网原产地证据文件预录入是什么事项类型","行政确认"
"图文知识","区外未联网原产地证据文件预录入的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》"
"图文知识","区外未联网原产地证据文件预录入的实施机构是什么","海关总署"
"图文知识","区外未联网原产地证据文件预录入的办理结果是什么","区外未联网原产地证据文件"
"图文知识","区外未联网原产地证据文件预录入的申请材料是什么","企业需要录入内容包括：
一、原产地证据文件电子数据
（一）原产地证据文件编号。填写原产地证书编号或原产地声明序列号。
（二）优惠贸易协定代码。从下拉菜单中选择优惠贸易协定代码。
（三）货物原产国（地区）。从下拉菜单中选择货物原产国（地区）。
（四）签证日期。按照原产地证书或原产地声明的签发日期填写（例如：2018年1月1日填写20180101）。
（五）HS编码。按照原产地证书或原产地声明所列商品HS编码填写。原产地证书或原产地声明未列明HS编码的，填写内容应与报关单对应商品HS编码一致。
（六）数量。按照原产地证书或原产地声明所列商品数量填写。
（七）计量单位。从下拉菜单中选择对应的计量单位（3位代码下拉菜单）。
（八）原产地标准。原产地证书或者原产地声明列明原产地标准的，根据所列原产地标准填写；未列明原产地标准的，填写“无”。
二、直接运输规则承诺事项
如实填写货物运输中转情况、单份全程运输单证持有情况和未再加工证明文件持有情况等直接运输承诺事项。其中单份全程运输单证是指符合海关总署公告2015年第57号和2016年第52号规定的单份全程运输单证。"
"图文知识","区外未联网原产地证据文件预录入的办理流程是什么"," 对尚未实现原产地电子信息交换的优惠贸易协定项下进口货物，进口人应当在申报进口前通过预录入端“优惠贸易协定原产地要素申报系统”填报原产地证据文件电子数据和直接运输规则承诺事项"
"图文知识","区外未联网原产地证据文件预录入的办理形式是什么","通过“优惠贸易协定原产地要素申报系统”填报"
"图文知识","区外未联网原产地证据文件预录入的审查标准是什么","填报的原产地证据文件电子数据和直接运输规则承诺事项应当与其持有的单证正本一致"
"图文知识","区外未联网原产地证据文件预录入的通办范围是什么","全国"
"图文知识","区外未联网原产地证据文件预录入的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","区外未联网原产地证据文件预录入业务的收费标准是什么","该业务不需要收费"
"图文知识","海关特殊监管区域原产地证据文件管理是什么事项类型","行政确认"
"图文知识","海关特殊监管区域原产地证据文件管理的设定依据是什么","《中华人民共和国海关进出口货物优惠原产地管理规定》
<br>海关总署2016年第53号公告"
"图文知识","海关特殊监管区域原产地证据文件管理的实施机构是什么","海关总署"
"图文知识","海关特殊监管区域原产地证据文件管理的办理结果是什么","海关特殊监管区域原产地证据文件"
"图文知识","海关特殊监管区域原产地证据文件管理的申请材料是什么","货物进入区域（场所）、进境内销或者出境时，进口人应当按照海关总署公告20 16年第51号的相关规定填制《中华人民共和国海关进（出）口货物报关单》和《中华人民共和国海关进（出）境货物备案清单》。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理流程是什么","对于尚未实现通过相关原产地电子信息交换系统传输原产地证据文件电子数据的优惠贸易安排，区域（场所）内销货物拟适用协定税率或者特惠税率的，货物在首次进入区域（场所）前，其收货人或者代理人（以下统称“进口人”）录入原产地证据文件的电子数据。"
"图文知识","海关特殊监管区域原产地证据文件管理的办理形式是什么","通过“海关特殊监管区域原产地”系统填报"
"图文知识","海关特殊监管区域原产地证据文件管理的审查标准是什么","填报数据应当与其持有的单证正本一致。"
"图文知识","海关特殊监管区域原产地证据文件管理的通办范围是什么","全国"
"图文知识","海关特殊监管区域原产地证据文件管理的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","海关特殊监管区域原产地证据文件管理业务的收费标准是什么","该业务不需要收费"
"图文知识","暂时进出境货物管理（延期或补税申请等）是什么事项类型","行政检查"
"图文知识","暂时进出境货物管理（延期或补税申请等）的设定依据是什么","《中华人民共和国海关法》第三十一条<br>《中华人民共和国海关暂时进出境货物管理办法》"
"图文知识","暂时进出境货物管理（延期或补税申请等）的实施机构是什么","各直属海关、隶属海关负责暂时进出境的部门"
"图文知识","暂时进出境货物管理（延期或补税申请等）的申请材料是什么","ATA单证册项下暂时进出境货物申报时，ATA单证册持证人应当向海关提交有效的ATA单证册。非ATA单证册项下暂时进出境货物申报时，货物收发货人应当填制海关进出口报关单，并向海关提交货物清单和其他相关单证。"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理形式是什么","窗口办理"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理流程是什么","（一）ATA单证册项下暂时进出境货物申报时，ATA单证册持证人应当向海关提交有效的ATA单证册<br>（二）海关就ATA单证册项下暂时进出境货物的暂时进出境申请批准同意的，应当在ATA单证册上予以签注，否则不予签注"
"图文知识","暂时进出境货物管理（延期或补税申请等）的审查标准是什么","（一）暂时进出境货物申报：是否为ATA单证册项下暂时进出境货物申报或者非ATA单证册项下暂时进出境货物申报<br>（二）暂时进出境货物延期核准：ATA单证册持证人、非ATA单证册项下暂时进出境货物收发货人是否在规定期限届满30日前向货物暂时进出境申请核准地海关提出延期申请"
"图文知识","暂时进出境货物管理（延期或补税申请等）的通办范围是什么","关区、全国"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的收费标准是什么","该业务不需要收费"
"图文知识","暂时进出境货物管理（延期或补税申请等）是什么事项类型","行政检查"
"图文知识","暂时进出境货物管理（延期或补税申请等）的设定依据是什么","《中华人民共和国海关法》第三十一条<br>《中华人民共和国海关暂时进出境货物管理办法》"
"图文知识","暂时进出境货物管理（延期或补税申请等）的实施机构是什么","各直属海关、隶属海关负责暂时进出境的部门"
"图文知识","暂时进出境货物管理（延期或补税申请等）的申请材料是什么","ATA单证册项下暂时进出境货物申报时，ATA单证册持证人应当向海关提交有效的ATA单证册。非ATA单证册项下暂时进出境货物申报时，货物收发货人应当填制海关进出口报关单，并向海关提交货物清单和其他相关单证。"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理形式是什么","窗口办理"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理流程是什么","（一）ATA单证册项下暂时进出境货物申报时，ATA单证册持证人应当向海关提交有效的ATA单证册<br>（二）海关就ATA单证册项下暂时进出境货物的暂时进出境申请批准同意的，应当在ATA单证册上予以签注，否则不予签注"
"图文知识","暂时进出境货物管理（延期或补税申请等）的审查标准是什么","（一）暂时进出境货物申报：是否为ATA单证册项下暂时进出境货物申报或者非ATA单证册项下暂时进出境货物申报<br>（二）暂时进出境货物延期核准：ATA单证册持证人、非ATA单证册项下暂时进出境货物收发货人是否在规定期限届满30日前向货物暂时进出境申请核准地海关提出延期申请"
"图文知识","暂时进出境货物管理（延期或补税申请等）的通办范围是什么","关区、全国"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理地点是什么","各直属海关业务现场或拨打12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）的办理时间是什么","各直属海关工作时间或拨打12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的咨询电话是什么","各直属海关咨询电话或12360海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的监督电话是什么","各直属海关咨询电话或12361海关服务热线"
"图文知识","暂时进出境货物管理（延期或补税申请等）业务的收费标准是什么","该业务不需要收费"
"图文知识","你好","<p>你好呀~请问有什么可以帮助你的？&nbsp;</p>"
"图文知识","你有什么爱好","<p>我是个积极向上的好宝宝，爱好当然是不断学习，不断给自己充电啦~&nbsp;</p>"
