"quest_type","quest_desc"
"2","你叫什么名字,你叫啥, 你叫什么"
"1","请你自我介绍一下"
"1","请你自我介绍一下"
"1","标准问题"
"1","请你自我介绍一下吧"
"1","你好"
"1","你好"
"1","111111问题"
"1","药品"
"1","个人外汇存现需要准备的资料是什么"
"2","个人外汇存现有哪些资料准备？"
"2","个人外汇存现需要准备的资料有哪些？"
"2","个人外汇存现"
"1","个人外汇存现服务内容"
"1","dsc"
"1","廖雨维1"
"1","你好"
"1","你好"
"1","你好"
"1","廖雨维1"
"1","你好"
"1","廖雨维1"
"1","测试图片大小"
"1","测试图片大小"
"1","个人外汇存现是否需要本人办理"
"1","个人外汇存现是否需要本人办理"
"1","专门测试新标签已加洗发露牌子"
"1","测试新标签，新标签为飞机打车"
"1","测试新标签山西山东"
"1","测试山西标签"
"1","1"
"1","测试测试是生生世世"
"1","测试场景知识"
"1","测试路径甲"
"1","测试百度百科"
"1","兴业银行-第43期天天万利宝人民币理财产品D款"
"1","兴业银行-第43期天天万利宝B款"
"1","南京银行-珠联璧合双月盈1号第142投资周期"
"1","交通银行-京品1745号"
"1","宁波银行-汇通理财2017年惠添利2594号产品私银专属B"
"1","招商银行-高净值专享金葵花增利系列1202149号北京分行销售"
"1","民生银行-非凡资产管理126天增利第311期个人直销银行高端款"
"1","交通银行-得利宝私银系列2241170073"
"1","宁波银行-汇通理财2017年惠添利2593号产品分行专属"
"1","交通银行-交银添利迎新2号2102170283"
"1","交通银行-得利宝沃德添利2242170291"
"1","建设银行-乾元鑫溢江南非保本型人民币2017年第664期"
"1","中国银行-中银汇增A计划2017年第81期"
"1","建设银行-乾元丝路2017年第176期"
"1","民生银行-非凡资产管理翠竹1W理财产品周三普通款304期"
"1","中国银行-中银基智通理财计划流动性增强系列2017年A17533期"
"1","工商银行-工银财富专属SCXT7171"
"1","北京银行-心喜系列2017年第39期HRF1711001号人民币组合投资型非保本理财产品"
"1","交通银行-得利宝私银系列2241170074"
"1","中国银行-中银稳富ZYWF-GDZH17132"
"1","农业银行-金钥匙安心得利2017年第301期客户升级专享"
"1","光大银行-阳光理财安存宝2017年11月第一期产品1"
"1","光大银行-阳光理财资产管理类理财T计划987-89产品"
"1","光大银行-阳光理财安存宝2017年11月第一期产品3"
"1","中国银行-中银集富理财计划AOZYJF2017438-HQ"
"1","建设银行-乾元丝路2017年第89期特享"
"1","北京银行-心喜2017年第44期GRB1711021号银行间保证收益理财产品"
"1","交通银行-得利宝交银添利沪2163170486"
"1","华夏银行-增盈1879号63天D款"
"1","建设银行-乾元通宝晋级2017年第255期"
"1","招商银行-高净值专享金葵花增利系列1202108号"
"1","交通银行-得利宝稳添利沪2441172806"
"1","民生银行-非凡资产管理35天增利第311期个人直销银行专属高端款"
"1","兴业银行-万利宝2017年第22期非保本浮动收益封闭式上海专属21001"
"1","民生银行-非凡资产管理翠竹1W理财产品周五对公款特1-149期"
"1","兴业银行-私人银行客户专属开放式钻石专享稳固8W001"
"1","交通银行-得利宝交银添利2102170280"
"1","北京银行-心喜系列2017年第40期GRF1711011号人民币组合投资型非保本"
"1","交通银行-京品1747号"
"1","招商银行-金葵花增利系列1202109号武汉分行销售"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17778-G"
"1","中国银行-中银智富理财计划2017年第256期AMZYZF2017256-HQ"
"1","农业银行-金钥匙本利丰2017年第1109期"
"1","交通银行-得利宝沃德添利2242170290"
"1","交通银行-京品1744号"
"1","农业银行-金钥匙本利丰2017年第1108期"
"1","工商银行-工银财富岁岁添财产业扶贫基金专属GYGR1771"
"1","北京银行-心喜系列2017年第39期HRF1711009号人民币组合投资型非保本理财产品"
"1","华夏银行-增盈保本型168号365天A款"
"1","招商银行-金葵花增利系列1202052号无锡分行销售"
"1","兴业银行-天天万利宝开放式7D第1款"
"1","建设银行-乾元丝路2017年第87期特享"
"1","中国银行-中银集富理财计划AOZYJF2017437-HQ"
"1","民生银行-非凡资产管理翠竹1W理财产品周五对公款特149期"
"1","农业银行-金钥匙本利丰2017年第1106期"
"1","北京银行-心喜系列2017年第40期HRF1711010号人民币组合投资型非保本"
"1","农业银行-金钥匙安心得利2017年第312期"
"1","南京银行-珠联璧合双季鑫1号第93投资周期新晋私行客户专享"
"1","建设银行-乾元养颐三秦保本型2017年第129期养老金"
"1","交通银行-得利宝汇添利美元2464170062"
"1","招商银行-金葵花增利系列1202167号南宁分行销售"
"1","中信银行-中信理财之惠益计划稳健系列7号185期"
"1","浦发银行-第四期汇理财稳利系列U2计划"
"1","浦发银行-第45期汇理财稳利系列R计划"
"1","民生银行-非凡资产管理翠竹1W理财产品周三高端款304期"
"1","工商银行-工银理财理财产品ZH1743"
"1","华夏银行-增盈保本型168号365天C款"
"1","工商银行-工银财富岁岁添财产业扶贫基金专属GYGR1772"
"1","华夏银行-增薪盈22号62天A款"
"1","中信银行-中信理财之乐赢稳健17154期新客专属"
"1","农业银行-金钥匙本利丰2017年第1104期"
"1","民生银行-非凡资产管理翠竹1W理财产品周三公享款特055期"
"1","农业银行-金钥匙安心得利2017年第308期"
"1","交通银行-得利宝汇添利美元2462170153"
"1","交通银行-得利宝沃德添利2242170293"
"1","民生银行-非凡资产管理翠竹2W理财产品周四公享01款030期"
"1","华夏银行-增盈1879号63天C款"
"1","北京银行-心喜系列2017年第40期GRF1711020号人民币组合投资型非保本"
"1","招商银行-高净值专享金葵花增利系列1202232号上海分行销售"
"1","工商银行-工银财富资产组合投资型BJCF7086"
"1","建设银行-乾元鑫鑫向荣2017年第489期"
"1","交通银行-京品1737号"
"1","中国银行-中银集富理财计划AOZYJF2017439-HQ"
"1","浦发银行-第45期汇理财稳利系列Y计划"
"1","民生银行-非凡资产管理35天增利第311期个人高端"
"1","民生银行-非凡资产管理翠竹1W理财产品周三对公款307期"
"1","建设银行-乾元久盈期次型理财产品2017年第205期养颐专享"
"1","平安银行-平安财富和盈资产管理类2017年357期薪花怒放寿险专属"
"1","民生银行-非凡资产管理翠竹2W理财产品周四对公款299期"
"1","交通银行-得利宝稳添利红舞12号2441172826"
"1","北京银行-心喜系列2017年第39期GRF1711028号人民币券商定向资产管理计划非保本理财产品"
"1","光大银行-阳光理财安存宝2017年11月第一期产品6"
"1","北京银行-心喜系列2017年第40期GRF1711014号人民币组合投资型非保本"
"1","交通银行-得利宝交银添利2102170277手机银行专享"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17778"
"1","交通银行-得利宝交银添利2102170278"
"1","招商银行-金葵花增利系列1201910号南昌分行销售"
"1","招商银行-金葵花增利系列1202104号"
"1","招商银行-高净值专享金葵花增利系列1202152号北京分行销售"
"1","招商银行-金葵花增利系列1201600号乌鲁木齐分行销售"
"1","工商银行-工银理财工银财富客户专属ZH1744"
"1","建设银行-乾元丝路2017年第92期私享"
"1","中信银行-中信理财之慧赢成长17181期"
"1","建设银行-乾元豫富2017年第337期养颐专享"
"1","建设银行-乾元丝路2017年第07期乐享周末"
"1","民生银行-非凡资产管理126天增利第311期对公款"
"1","招商银行-高净值专享金葵花增利系列1202234号上海分行销售"
"1","招商银行-高净值专享金葵花增利系列1202140号广州分行销售"
"1","宁波银行-汇通理财2017年E点通5106号产品微信银行专属"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17791-1"
"1","工商银行-工银财富专属120天GDXT4564"
"1","建设银行-乾元丝路2017年第182期潜力客户专享"
"1","南京银行-珠联璧合双季鑫1号第93投资周期"
"1","中信银行-中信理财之慧赢成长17183期"
"1","招商银行-高净值专享金葵花增利系列1202147号"
"1","农业银行-金钥匙安心得利2017年第309期"
"1","建设银行-乾元丝路2017年第90期私享"
"1","交通银行-得利宝汇添利港币2462170157"
"1","兴业银行-万利宝2014年第13期非保本浮动收益开放式北京专属3M-32001"
"1","建设银行-乾元鑫溢江南非保本型2017年第663期乐享周五"
"1","中国银行-中银汇增A计划2017年第83期"
"1","光大银行-阳光理财安存宝2017年11月第一期产品4"
"1","工商银行-工银财富资产组合投资型SZJZ1706"
"1","招商银行-高净值专享金葵花增利系列1202150号北京分行销售"
"1","兴业银行-私人银行客户专属开放式钻石专享稳固18W004"
"1","交通银行-得利宝汇添利英镑2462170159"
"1","兴业银行-万利宝2017年第22期非保本浮动收益封闭式上海专属21002"
"1","建设银行-乾元丝路2017年第179期"
"1","建设银行-乾元八桂专享2017年第8期"
"1","工商银行-第28期工银理财封闭净值型产品XJXT1728"
"1","招商银行-金葵花增利系列1201860号"
"1","农业银行-金钥匙安心得利2017年第302期"
"1","南京银行-珠联璧合双季鑫1号第93投资周期新晋财富客户专享"
"1","兴业银行-万利宝2017年第13期非保本浮动收益封闭式21035"
"1","农业银行-金钥匙安心得利2017年第5672期"
"1","交通银行-得利宝私银系列2241170071"
"1","农业银行-金钥匙安心得利2017年第5005期"
"1","兴业银行-第43期天天万利宝A款"
"1","平安银行-平安财富和盈资产管理类2017年369期寿险专属"
"1","农业银行-金钥匙安心得利2017年第298期"
"1","农业银行-金钥匙安心得利2017年第2期新客户新资金专享"
"1","农业银行-金钥匙安心得利2017年第311期"
"1","北京银行-心喜系列2017年第40期HRF1711002号人民币组合投资型非保本"
"1","农业银行-金钥匙本利丰2017年第1107期"
"1","交通银行-得利宝交银添利迎新版沪2163170484"
"1","交通银行-得利宝交银添利2102170279"
"1","民生银行-非凡资产管理翠竹同益1W理财产品周三款026期"
"1","宁波银行-汇通理财2017年惠添利2595号"
"1","建设银行-乾元豫富2017年第336期手机银行专享"
"1","交通银行-得利宝汇添利美元理财产品2466170065"
"1","浦发银行-第45期汇理财稳利系列R计划社区银行专属"
"1","农业银行-金钥匙安心得利2017年第307期"
"1","南京银行-珠联璧合双月鑫1号第92投资周期"
"1","交通银行-得利宝交银添利沪2163170475"
"1","工商银行-工银理财享利区域专属产品JXXL1751"
"1","交通银行-得利宝沃德添利2242170292"
"1","交通银行-京品1741号"
"1","中国银行-中银稳富ZYWF-GDZZ17138"
"1","兴业银行-万利宝2017年第15期非保本浮动收益封闭式21001"
"1","农业银行-金钥匙安心得利2017年第314期客户升级专享"
"1","招商银行-金葵花增利系列1202009号"
"1","农业银行-金钥匙安心得利2017年第2期多次派息"
"1","光大银行-阳光理财资产管理类理财T计划989-86产品"
"1","农业银行-金钥匙安心得利2017年第300期"
"1","工商银行-工银江苏个人理财JSXT7077"
"1","建设银行-乾元鑫溢江南非保本型人民币2017年第665期私行新客"
"1","民生银行-非凡资产管理35天增利第311期对公款"
"1","民生银行-非凡资产管理翠竹1W理财产品周三对公款307期"
"1","民生银行-非凡资产管理翠竹同益2M对公02款A理财产品12期"
"1","农业银行-金钥匙安心得利2017年第5821期"
"1","建设银行-乾元保本型2017年第100期"
"1","交通银行-得利宝汇添利美元2464170061"
"1","民生银行-非凡资产管理91天增利第311期对公款"
"1","北京银行-本无忧第44期GUB1711016号"
"1","南京银行-珠联璧合双季鑫1号第93投资周期新高净值客户专享"
"1","工商银行-工银财富资产组合投资型CQXT1719"
"1","北京银行-慧赚宝2017年第42期GRB1711012号银行间保证收益理财产品"
"1","建设银行-乾元e路盈2017年第37期"
"1","南京银行-珠联璧合双季鑫1号第93投资周期北京定制"
"1","交通银行-京品1736号"
"1","光大银行-随心定21期理财产品"
"1","南京银行-珠联璧合双月盈1号第142投资周期"
"1","兴业银行-私人银行客户专属开放式钻石专享稳固9M012"
"1","民生银行-非凡资产管理翠竹同益2M对公02款B理财产品12期"
"1","工商银行-工银江苏个人理财JSXT7075"
"1","民生银行-非凡资产管理翠竹1W理财产品周三对公款特153期"
"1","光大银行-同利计划148期"
"1","农业银行-农银私行安心得利2017年第3028期"
"1","北京银行-心喜2017年第44期GRB1711049号银行间保证收益理财产品"
"1","交通银行-京品1714号"
"1","民生银行-非凡资产管理翠竹同益2W理财产品周四01款014期"
"1","建设银行-乾元豫富2017年第334期养颐专享"
"1","宁波银行-汇通理财2017年E点通5108号产品直销专属"
"1","建设银行-汇得盈非保本型2017年第53期"
"1","兴业银行-第43期天天万利宝N款新客专属"
"1","交通银行-得利宝汇添利港币2462170158"
"1","兴业银行-私人银行客户专属人民币封闭式理财产品感恩特别款"
"1","平安银行-平安财富和盈资产管理类2017年376期薪花怒放寿险专属"
"1","建设银行-乾元丝路2017年第177期"
"1","南京银行-珠联璧合季季鑫1号第92投资周期"
"1","工商银行-第29期工银理财封闭净值型产品XJXT1729"
"1","南京银行-珠联璧合月安享1号第142投资周期"
"1","平安银行-平安财富周添利现金管理类2012年2期"
"1","招商银行-高净值专享金葵花增利系列1202196号"
"1","农业银行-金钥匙安心得利2017年第3期新客户新资金专享"
"1","农业银行-金钥匙安心得利2017年第313期"
"1","招商银行-私人增利系列9000111号"
"1","民生银行-非凡资产管理翠竹1W理财产品周三公享款055期"
"1","工商银行-工银理财工银财富客户专属CFXT7151"
"1","民生银行-非凡资产管理翠竹2W理财产品周四公享01款特030期"
"1","交通银行-得利宝汇添利美元2462170154"
"1","工商银行-工银理财工银财富客户专属CFXT7149"
"1","民生银行-非凡资产管理35天增利第311期个人普通"
"1","中国银行-中银汇增A计划2017年第84期"
"1","民生银行-非凡资产管理翠竹1W理财产品周三尊享款304期"
"1","兴业银行-第43期天天万利宝E款社区直销电话银行专属版"
"1","光大银行-阳光理财资产管理类理财T计划986-53产品"
"1","中国银行-中银集富理财计划AOZYJF2017440-HQ"
"1","工商银行-工银江苏个人理财JSXT7076"
"1","宁波银行-汇通理财2017年惠添利2592号产品双十一专属"
"1","民生银行-非凡资产管理翠竹1W理财产品周五对公款301期"
"1","民生银行-非凡资产管理翠竹2W理财产品周四对公款特1-151期"
"1","民生银行-非凡资产管理35天增利第311期个人直销银行专属普通款"
"1","招商银行-高净值专享金葵花增利系列1202197号"
"1","建设银行-乾元丝路2017年第175期"
"1","北京银行-慧赚宝2017年第42期GRB1711001号银行间保证收益理财产品"
"1","兴业银行-天天万汇通2017年第17期"
"1","工商银行-工银财富专属163天SDCF1761"
"1","招商银行-金葵花增利系列841号"
"1","建设银行-乾元e路盈2017年第38期"
"1","北京银行-慧赚宝2017年第42期GRB1711011号银行间保证收益理财产品"
"1","华夏银行-增薪盈22号125天A款"
"1","工商银行-工银理财专属146天GZXT7171"
"1","农业银行-金钥匙安心得利2017年第299期"
"1","工商银行-工银财富资产组合投资型BJCF7087"
"1","兴业银行-第43期天天万利宝C款"
"1","建设银行-乾元开鑫享2017年第60期"
"1","农业银行-金钥匙安心得利2017年第303期周四我最赚"
"1","交通银行-得利宝稳添利沪2441172835"
"1","建设银行-乾元久盈期次型理财产品2017年第211期养颐专享"
"1","兴业银行-万利宝2017年第1期非保本浮动收益封闭式1100E"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17777"
"1","农业银行-金钥匙安心得利2017年第315期购物狂欢月专享"
"1","北京银行-本无忧第44期GUB1711006号"
"1","华夏银行-增盈保本型168号365天B款"
"1","工商银行-工银财富专属81天SDCF1760"
"1","民生银行-非凡资产管理35天增利第311期个人直销银行专属普通款"
"1","农业银行-本利丰定向BFDG170526"
"1","招商银行-高净值专享金葵花增利系列1202146号"
"1","招商银行-高净值专享金葵花增利系列1202219号深圳分行销售"
"1","中信银行-中信理财之乐赢稳健17153期新客专属"
"1","招商银行-高净值专享金葵花增利系列1202221号深圳分行销售"
"1","工商银行-工银理财豫赢1号HNYY1726"
"1","农业银行-金钥匙安心得利2017年第310期"
"1","交通银行-京品1746号"
"1","交通银行-京品1743号"
"1","-牛熊双盈保本投资产品系列46VIP客户专享"
"1","民生银行-非凡资产管理翠竹1W理财产品周五普通款303期"
"1","建设银行-乾元丝路2017年第88期特享"
"1","建设银行-乾元养颐三秦保本型2017年第128期养老金"
"1","南京银行-珠联璧合四月盈1号第142投资周期常州"
"1","招商银行-高净值专享金葵花增利系列1202084号长沙分行销售"
"1","建设银行-乾元丝路2017年第86期特享"
"1","兴业银行-第43期天天万利宝H款保本理财"
"1","浦发银行-第四期汇理财稳利系列U1计划"
"1","工商银行-工银理财定向山西理财产品CFXT7081"
"1","交通银行-得利宝汇添利澳元2462170155"
"1","民生银行-非凡资产管理35天增利第311期个人直销银行专属高端款"
"1","交通银行-得利宝交银添利沪2163170476"
"1","工商银行-工银理财专属85天GZXT7167"
"1","工商银行-工银理财豫赢1号HNYY1725"
"1","民生银行-非凡资产管理62天增利第311期个人普通"
"1","交通银行-得利宝汇添利澳元2462170156"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17790"
"1","工商银行-工银财富127天QDXT1762"
"1","工商银行-工银理财豫赢1号HNYY1724"
"1","中国银行-中银汇增A计划2017年第82期"
"1","中信银行-中信理财之慧赢成长17182期"
"1","工商银行-工银财富专属360天SHXT7283"
"1","平安银行-平安财富私行专享尊贵智慧资产管理类2017年21期高净值专属"
"1","招商银行-私人银行家业常青系列190号"
"1","-牛熊双盈保本投资产品系列46VIP客户专享"
"1","交通银行-京品1715号"
"1","建设银行-乾元丝路2017年第178期"
"1","工商银行-工银理财理财产品CFXT7150"
"1","民生银行-非凡资产管理翠竹2W理财产品周四对公款特151期"
"1","招商银行-高净值专享金葵花增利系列1202218号深圳分行销售"
"1","光大银行-阳光理财安存宝2017年11月第一期产品5"
"1","民生银行-非凡资产管理翠竹1W理财产品周三对公款特152期"
"1","浦发银行-第45期汇理财稳利系列Y计划社区银行专属"
"1","交通银行-得利宝交银添利沪2163170478"
"1","-牛熊双盈保本投资产品系列47"
"1","工商银行-工银财富资产组合投资型SZJZ1701"
"1","民生银行-非凡资产管理翠竹1W理财产品周三对公款306期"
"1","中信银行-中信理财之乐赢稳健17152期新客专属"
"1","招商银行-私人增利系列9000098号"
"1","建设银行-乾元保本型2017年第103期"
"1","招商银行-高净值专享金葵花增利系列1202220号深圳分行销售"
"1","招商银行-私人银行家业常青系列166号"
"1","中国银行-中银平稳理财计划智荟系列AMZYPWHQ17790-G"
"1","民生银行-非凡资产管理翠竹1W理财产品周五高端款303期"
"1","兴业银行-第43期天天万利宝F款保本理财"
"1","建设银行-乾元鑫鑫向荣2017年第501期"
"1","建设银行-乾元鑫溢江南非保本型人民币2017年第671期"
"1","浦发银行-第45期汇理财稳利系列V计划"
"1","农业银行-金钥匙本利丰2017年第1105期"
"1","平安银行-平安财富和盈资产管理类2017年368期寿险专属"
"1","工商银行-工银财富专属SCXT7172"
"1","光大银行-阳光理财资产管理类理财T计划988-50产品"
"1","北京银行-心喜系列2017年第39期GRF1711024号人民币券商定向资产管理计划非保本理财产品"
"1","北京银行-心喜系列2017年第39期GRF1711040号人民币信托债券非保本理财产品"
"1","平安银行-平安财富周添利现金管理类2011年1期"
"1","兴业银行-私人银行客户专属开放式钻石专享稳固9M012"
"1","交通银行-得利宝汇添利美元理财产品2466170066"
"1","民生银行-非凡资产管理126天增利第311期个人直销银行普通款"
"1","建设银行-乾元丝路2017年第181期"
"1","中信银行-中信理财之乐赢稳健17155期新客专属"
"1","建设银行-乾元共享型2017年第144期"
"1","招商银行-金葵花增利系列1201861号西安分行销售"
"1","兴业银行-私人银行客户专属开放式钻石专享稳固8W002"
"1","测试年龄区间"
"1","啦啦啦啦啦"
"1","知识标题11"
"2","进出口货物种类"
"2","进出口商品"
"1","知识标题12"
"2","外贸分类"
"2","水电费"
"1","知识标题13"
"2","外贸分类"
"2","显示问题"
"1","知识标题14"
"2","外贸分类"
"2","显示问题"
"1","2015 法兰克福家用纺织品展"
"1","2015 意大利加答国际鞋展"
"1","第四届中国-东盟（泰国）商品贸易展览会"
"1","2014 中国（福州）家具建材装饰品博览会"
"1","2014 印度尼西亚雅加达国际家庭用品及礼品展览会"
"1","工商银行-洛杉矶10%到店购物专属返现礼遇 工银运通信用卡带你360"
"1","2014 南非约翰内斯堡环球资源采购交易会"
"1","2014 土耳其国际家具配件、林产品和木材工艺展览会"
"1","农业银行-漂亮升级妈妈信用卡周六驴妈妈满300立减100"
"1","2014 俄罗斯婴童少儿用品及玩具展"
"1","2014 时尚生活汇展 • 伊斯坦布尔"
"1","2014 俄罗斯国际鞋类、箱包及配件展"
"1","兴业银行-放肆享·乐享美食 放肆消费"
"1","2014 中国（广州）国际家居饰品、家纺布艺展览会"
"1","第三十四届中国（广州）国际家具博览会"
"1","2014 土耳其国际家纺和家居饰品展览会"
"1","工商银行-积分当钱花合作商户名录"
"1","2014 土耳其秋季国际家庭用品、礼品、家纺及家用电器展览会"
"1","2015 俄罗斯家用电器与家庭用品博览会"
"1","2014 德国科隆国际体育、露营和户外家具及花园用品展览会"
"1","农业银行-飞遍世界，机惠无限"
"1","第三届中国品牌商品非洲展"
"1","光大银行-安邦首刷，净透一夏"
"1","2014 美国亚特兰大国际家具配件及木工机械展"
"1","农业银行-刷农行Visa信用卡，台湾精选商户享折扣优惠"
"1","2014 美国拉斯维加斯国际服装及面辅料展"
"1","2014 美国拉斯维加斯国际鞋类展览会"
"1","工商银行-工银JCB信用卡境外随身WiFi免费租"
"1","2014广州国际工业自动化技术及装备展览会"
"1","2014 中国国际标签技术展览会"
"1","第二届中国品牌商品非洲展"
"1","光大银行-40000积分兑换吉野家照烧鸡排饭套餐"
"1","2013 中国（广州）国际家居饰品、家纺布艺展览会"
"1","第三十二届中国（广州）国际家具博览会"
"1","工商银行-家乐福网上商城满169元减50元 线下门店满150元减50元"
"1","第三届中国-东盟（泰国）商品贸易展览会"
"1","第十五届中国（广州）国际建筑装饰博览会"
"1","2013 中国广州国际家具生产设备及配料展览会"
"1","第三十一届中国（广州）国际家具博览会 - 办公环境展"
"1","兴业银行-花积分，就兑了——父亲节积分换礼，兑一赠一"
"1","2013 中国（广州）国际家用纺织品及辅料博览会"
"1","2013 中国（广州）国际户外家具及休闲用品展览会"
"1","工商银行-洛杉矶10%到店购物专属返现礼遇 工银运通信用卡带你360°畅游天使城"
"1","第三十一届中国（广州）国际家具博览会 - 民用家具展"
"1","第20华南国际印刷工业展览会"
"1","2013中国国际标签技术展览会"
"1","2013 州国际工业自动化技术及装备展览会"
"1","工商银行-工行持卡人专享 都喜天阙年度特惠"
"1","第十四届广州国际水展"
"1","工商银行-新客有礼 消费返现66"
"1","第二届中国-东盟（泰国）商品贸易展览会"
"1","第十四届中国（广州）国际建筑装饰博览会"
"1","第一届中国品牌商品非洲展"
"1","光大银行-开启注册新历程，立时绑卡送1000积分"
"1","第一届中国-东盟（泰国）商品贸易展览会"
"1","工商银行-爱购周末”工银信用卡促销活动"
"1","第二十届中国建博会（广州）"
"1","第27届广州国际汽车用品、零配件及售后服务展览会（CIAACE）"
"1","第四十一届中国（广州）国际家具博览会 - 第二期"
"1","工商银行-刷卡满68元得DQ冰淇淋代金券"
"1","2018 中国建博会（上海）"
"1","第四十一届中国（广州）国际家具博览会 - 第一期"
"1","第25届华南国际印刷工业展览会"
"1","2018 中国国际标签技术展览会"
"1","兴业银行-参与兴业银行Visa信用卡淘金V计划，每笔最高回馈50%淘金币"
"1","2017 德国杜塞尔多夫国际劳动安全及健康用品展览会"
"1","2017 美国安全及劳保用品展览会"
"1","光大银行-为爱花点时间"
"1","第四十届中国（上海）国际家具博览会"
"1","第七届中国-东盟（泰国）商品贸易展览会"
"1","工商银行-工行持卡人专享 都喜天阙年度特惠"
"1","2017 土耳其秋季国际家庭用品、礼品、家纺及家用电器展览会"
"1","兴业银行-活力日 放肆享"
"1","2017美国拉斯维加斯国际家用纺织品及家居饰品展"
"1","2017 美国拉斯维加斯国际鞋类展览会-成品鞋、鞋材和制鞋工厂采购专区（8月）"
"1","2017美国拉斯维加斯国际大宗商品采购展"
"1","农业银行-孩子王周六满350立减60元"
"1","2017 巴西圣保罗国际文具、办公用品及电脑产品展览会"
"1","第十九届中国建博会（广州）"
"1","第25届广州国际汽车用品、零配件及售后服务展览会（CIAACE）"
"1","第六届中国品牌商品非洲展"
"1","农业银行-孩子王周六满350立减60元"
"1","2017 意大利加答国际鞋展（6月）"
"1","2014美国拉斯维加斯国际家用纺织品及家居饰品展"
"1","2014 美国纽约礼品展"
"1","工商银行-“爱购周末” 711便利店 满20元立减10元"
"1","2014 巴西圣保罗国际礼品家庭用品展览会"
"1","2014 巴西圣保罗环球资源采购交易会"
"1","2014 巴西圣保罗国际文具、办公用品及电脑产品展览会"
"1","2014 日本东京国际文具、办公用品暨办公机器展览会"
"1","工商银行-工银信用卡客户专享峨眉蓝光已庄酒店优惠"
"1","第十六届中国（广州）国际建筑装饰博览会"
"1","2014 南非约翰内斯堡国际贸易博览会"
"1","兴业银行-活力星期四 放肆加油九五折"
"1","2014广东国际酒类博览会"
